CODE_CLIENT;RAISON_SOCIALE;VILLE;REGION;MONTANT;DATE_CREATION;STATUT
CLI0001;Societe Generale du Batiment 1;Lyon;Auvergne-Rhone-Alpes;137,45;2026-02-11;Valide
CLI0002;Cabinet Andre & Fils 2;Marseille;PACA;274,90;2026-03-12;Valide
CLI0003;Enterprise Cotiere 3;Bordeaux;Nouvelle-Aquitaine;412,35;2026-04-13;Valide
CLI0004;Groupe Herisson 4;Lille;Hauts-de-France;549,80;2026-05-14;Valide
CLI0005;Maison Provencale 5;Nantes;Pays de la Loire;687,25;2026-06-15;Valide
CLI0006;Etablissements Muller 6;Paris;Ile-de-France;824,70;2026-07-16;Valide
CLI0007;Societe Generale du Batiment 7;Lyon;Auvergne-Rhone-Alpes;962,15;2026-08-17;Valide
CLI0008;Cabinet Andre & Fils 8;Marseille;PACA;1 099,60;2026-09-18;Valide
CLI0009;Enterprise Cotiere 9;Bordeaux;Nouvelle-Aquitaine;1 237,05;2026-01-10;Valide
CLI0010;Groupe Herisson 10;Lille;Hauts-de-France;1 374,50;2026-02-11;Valide
CLI0011;Maison Provencale 11;Nantes;Pays de la Loire;1 511,95;2026-03-12;Invalide
CLI0012;Etablissements Muller 12;Paris;Ile-de-France;1 649,40;2026-04-13;Valide
CLI0013;Societe Generale du Batiment 13;Lyon;Auvergne-Rhone-Alpes;2 600,00;2026-05-14;Valide
CLI0014;Cabinet Andre & Fils 14;Marseille;PACA;1 924,30;2026-06-15;Valide
CLI0015;Enterprise Cotiere 15;Bordeaux;Nouvelle-Aquitaine;2 061,75;2026-07-16;Valide
CLI0016;Groupe Herisson 16;Lille;Hauts-de-France;2 199,20;2026-08-17;Valide
CLI0017;Maison Provencale 17;Nantes;Pays de la Loire;2 336,65;2026-09-18;Valide
CLI0018;Etablissements Muller 18;Paris;Ile-de-France;2 474,10;2026-01-10;Valide
CLI0019;Societe Generale du Batiment 19;Lyon;Auvergne-Rhone-Alpes;2 611,55;2026-02-11;Valide
CLI0020;Cabinet Andre & Fils 20;Marseille;PACA;2 749,00;2026-03-12;Valide
