CODE_PRODUIT	LIBELLE	FAMILLE	PRIX_CATALOGUE
PRD001	Produit 1	Prevoyance	49,90
PRD002	Produit 2	Retraite	99,80
PRD003	Produit 3	Sante	149,70
PRD004	Produit 4	Assurance Vie	199,60
PRD005	Produit 5	Prevoyance	249,50
PRD006	Produit 6	Retraite	299,40
PRD007	Produit 7	Sante	349,30
PRD008	Produit 8	Assurance Vie	399,20
PRD009	Produit 9	Prevoyance	449,10
PRD010	Produit 10	Retraite	499,00
PRD011	Produit 11	Sante	548,90
PRD012	Produit 12	Assurance Vie	598,80
PRD013	Produit 13	Prevoyance	648,70
PRD014	Produit 14	Retraite	698,60
PRD015	Produit 15	Sante	748,50
PRD016	Produit 16	Assurance Vie	798,40
PRD018	Produit 18	Retraite	898,20
PRD019	Produit 19	Sante	948,10
PRD020	Produit 20	Assurance Vie	998,00
PRD021	Produit 21	Prevoyance	1 047,90
PRD022	Produit 22	Retraite	1 097,80
PRD023	Produit 23	Sante	1 147,70
PRD024	Produit 24	Assurance Vie	1 197,60
PRD025	Produit 25	Prevoyance	1 247,50
PRD026	Produit 26	Retraite	1 297,40
PRD027	Produit 27	Sante	1 347,30
PRD028	Produit 28	Assurance Vie	1 397,20
PRD029	Produit 29	Prevoyance	1 447,10
PRD030	Produit 30	Retraite	1 497,00
PRD031	Produit 31	Sante	1 546,90
PRD032	Produit 32	Assurance Vie	1 596,80
PRD033	Produit 33	Prevoyance	1 646,70
PRD034	Produit 34	Retraite	1 696,60
PRD035	Produit 35	Sante	1 746,50
PRD036	Produit 36	Assurance Vie	1 796,40
PRD037	Produit 37	Prevoyance	1 846,30
PRD038	Produit 38	Retraite	1 896,20
PRD039	Produit 39	Sante	1 946,10
PRD040	Produit 40	Assurance Vie	1 996,00
