ID_VENTE,CODE_CLIENT,CODE_PRODUIT,QUANTITE,PRIX_UNITAIRE,DATE_VENTE
V000001,CLI0002,PRD002,2,17.01,2026-02-02
V000002,CLI0003,PRD003,3,24.02,2026-03-03
V000003,CLI0004,PRD004,4,31.03,2026-04-04
V000004,CLI0005,PRD005,5,38.04,2026-05-05
V000005,CLI0006,PRD006,6,45.05,2026-06-06
V000006,CLI0007,PRD007,7,52.06,2026-07-07
V000007,CLI0008,PRD008,8,59.07,2026-08-08
V000008,CLI0009,PRD009,9,66.08,2026-01-09
V000009,CLI0010,PRD010,1,73.09,2026-02-10
V000010,CLI0011,PRD011,2,80.10,2026-03-11
V000011,CLI0012,PRD012,3,87.11,2026-04-12
V000012,CLI0013,PRD013,4,94.12,2026-05-13
V000013,CLI0014,PRD014,5,101.13,2026-06-14
V000014,CLI0015,PRD015,6,108.14,2026-07-15
V000015,CLI0016,PRD016,7,115.15,2026-08-16
V000016,CLI0017,PRD017,8,122.16,2026-01-17
V000017,CLI0018,PRD018,9,129.17,2026-02-18
V000018,CLI0019,PRD019,1,136.18,2026-03-19
V000019,CLI0020,PRD020,2,143.19,2026-04-20
V000020,CLI0021,PRD021,3,150.20,2026-05-21
V000021,CLI0022,PRD022,4,157.21,2026-06-22
V000022,CLI0023,PRD023,5,164.22,2026-07-23
V000023,CLI0024,PRD024,6,171.23,2026-08-24
V000024,CLI0025,PRD025,7,178.24,2026-01-25
V000025,CLI0026,PRD026,8,185.25,2026-02-26
V000026,CLI0027,PRD027,9,192.26,2026-03-27
V000027,CLI0028,PRD028,1,199.27,2026-04-28
V000028,CLI0029,PRD029,2,206.28,2026-05-01
V000029,CLI0030,PRD030,3,213.29,2026-06-02
V000030,CLI0031,PRD031,4,220.30,2026-07-03
V000031,CLI0032,PRD032,5,227.31,2026-08-04
V000032,CLI0033,PRD033,6,234.32,2026-01-05
V000033,CLI0034,PRD034,7,241.33,2026-02-06
V000034,CLI0035,PRD035,8,248.34,2026-03-07
V000035,CLI0036,PRD036,9,255.35,2026-04-08
V000036,CLI0037,PRD037,1,262.36,2026-05-09
V000037,CLI0038,PRD038,2,269.37,2026-06-10
V000038,CLI0039,PRD039,3,276.38,2026-07-11
V000039,CLI0040,PRD040,4,283.39,2026-08-12
V000040,CLI0041,PRD001,5,290.40,2026-01-13
V000041,CLI0042,PRD002,6,297.41,2026-02-14
V000042,CLI0043,PRD003,7,304.42,2026-03-15
V000043,CLI0044,PRD004,8,311.43,2026-04-16
V000044,CLI0045,PRD005,9,318.44,2026-05-17
V000045,CLI0046,PRD006,1,325.45,2026-06-18
V000046,CLI0047,PRD007,2,332.46,2026-07-19
V000047,CLI0048,PRD008,3,339.47,2026-08-20
V000048,CLI0049,PRD009,4,346.48,2026-01-21
V000049,CLI0050,PRD010,5,353.49,2026-02-22
V000050,CLI0051,PRD011,6,360.50,2026-03-23
V000051,CLI0052,PRD012,7,367.51,2026-04-24
V000052,CLI0053,PRD013,8,374.52,2026-05-25
V000053,CLI0054,PRD014,9,381.53,2026-06-26
V000054,CLI0055,PRD015,1,388.54,2026-07-27
V000055,CLI0056,PRD016,2,395.55,2026-08-28
V000056,CLI0057,PRD017,3,402.56,2026-01-01
V000057,CLI0058,PRD018,4,409.57,2026-02-02
V000058,CLI0059,PRD019,5,416.58,2026-03-03
V000059,CLI0060,PRD020,6,423.59,2026-04-04
V000060,CLI0061,PRD021,7,430.60,2026-05-05
V000061,CLI0062,PRD022,8,437.61,2026-06-06
V000062,CLI0063,PRD023,9,444.62,2026-07-07
V000063,CLI0064,PRD024,1,451.63,2026-08-08
V000064,CLI0065,PRD025,2,458.64,2026-01-09
V000065,CLI0066,PRD026,3,465.65,2026-02-10
V000066,CLI0067,PRD027,4,472.66,2026-03-11
V000067,CLI0068,PRD028,5,479.67,2026-04-12
V000068,CLI0069,PRD029,6,486.68,2026-05-13
V000069,CLI0070,PRD030,7,493.69,2026-06-14
V000070,CLI0071,PRD031,8,500.70,2026-07-15
V000071,CLI0072,PRD032,9,507.71,2026-08-16
V000072,CLI0073,PRD033,1,14.72,2026-01-17
V000073,CLI0074,PRD034,2,21.73,2026-02-18
V000074,CLI0075,PRD035,3,28.74,2026-03-19
V000075,CLI0076,PRD036,4,35.75,2026-04-20
V000076,CLI0077,PRD037,5,42.76,2026-05-21
V000077,CLI0078,PRD038,6,49.77,2026-06-22
V000078,CLI0079,PRD039,7,56.78,2026-07-23
V000079,CLI0080,PRD040,8,63.79,2026-08-24
V000080,CLI0081,PRD001,9,70.80,2026-01-25
V000081,CLI0082,PRD002,1,77.81,2026-02-26
V000082,CLI0083,PRD003,2,84.82,2026-03-27
V000083,CLI0084,PRD004,3,91.83,2026-04-28
V000084,CLI0085,PRD005,4,98.84,2026-05-01
V000085,CLI0086,PRD006,5,105.85,2026-06-02
V000086,CLI0087,PRD007,6,112.86,2026-07-03
V000087,CLI0088,PRD008,7,119.87,2026-08-04
V000088,CLI0089,PRD009,8,126.88,2026-01-05
V000089,CLI0090,PRD010,9,133.89,2026-02-06
V000090,CLI0091,PRD011,1,140.90,2026-03-07
V000091,CLI0092,PRD012,2,147.91,2026-04-08
V000092,CLI0093,PRD013,3,154.92,2026-05-09
V000093,CLI0094,PRD014,4,161.93,2026-06-10
V000094,CLI0095,PRD015,5,168.94,2026-07-11
V000095,CLI0096,PRD016,6,175.95,2026-08-12
V000096,CLI0097,PRD017,7,182.96,2026-01-13
V000097,CLI0098,PRD018,8,189.97,2026-02-14
V000098,CLI0099,PRD019,9,196.98,2026-03-15
V000099,CLI0100,PRD020,1,203.99,2026-04-16
V000100,CLI0101,PRD021,2,210.00,2026-05-17
V000101,CLI0102,PRD022,3,217.01,2026-06-18
V000102,CLI0103,PRD023,4,224.02,2026-07-19
V000103,CLI0104,PRD024,5,231.03,2026-08-20
V000104,CLI0105,PRD025,6,238.04,2026-01-21
V000105,CLI0106,PRD026,7,245.05,2026-02-22
V000106,CLI0107,PRD027,8,252.06,2026-03-23
V000107,CLI0108,PRD028,9,259.07,2026-04-24
V000108,CLI0109,PRD029,1,266.08,2026-05-25
V000109,CLI0110,PRD030,2,273.09,2026-06-26
V000110,CLI0111,PRD031,3,280.10,2026-07-27
V000111,CLI0112,PRD032,4,287.11,2026-08-28
V000112,CLI0113,PRD033,5,294.12,2026-01-01
V000113,CLI0114,PRD034,6,301.13,2026-02-02
V000114,CLI0115,PRD035,7,308.14,2026-03-03
V000115,CLI0116,PRD036,8,315.15,2026-04-04
V000116,CLI0117,PRD037,9,322.16,2026-05-05
V000117,CLI0118,PRD038,1,329.17,2026-06-06
V000118,CLI0119,PRD039,2,336.18,2026-07-07
V000119,CLI0120,PRD040,3,343.19,2026-08-08
